Observation	Origine	Taille	Couleur	Sexe
197	M	145	1	1
198	L	118	1	2
199	L	132	1	2
200	L	161	1	1
201	M	146	0	1
202	M	161	0	1
203	L	138	0	2
204	L	126	1	2
205	M	141	0	1
206	M	143	0	1
207	L	159	1	1
208	M	144	0	1
209	L	137	0	1
210	L	142	1	1
211	M	177	1	1
212	M	157	1	1
213	L	135	1	2
214	L	182	1	2
215	L	126	0	1
216	M	154	1	1
217	L	147	0	1
218	M	144	0	2
219	M	157	1	1
220	M	138	0	2
221	L	129	0	1
222	L	138	1	2
223	L	150	1	1
224	L	151	1	2
225	M	152	1	1
226	M	140	1	1
227	M	156	0	1
228	M	143	0	1
229	L	127	0	1
230	M	147	0	1
231	M	151	1	2
232	M	149	1	1
233	M	146	0	1
234	L	150	0	2
235	M	148	0	2
236	L	149	0	1
237	M	161	0	1
238	L	129	1	1
239	M	155	0	1
240	M	154	0	2
241	M	143	1	2
242	M	150	0	2
243	M	152	0	1
244	M	145	0	1
245	M	139	0	2
246	M	152	1	2
247	L	158	0	1
248	L	143	1	1
249	M	145	1	1
250	M	162	0	2
251	M	157	1	2
252	M	123	1	1
253	M	163	0	1
254	M	163	1	2
255	M	172	0	1
256	M	138	1	1
257	M	126	0	1
258	L	146	1	1
259	M	161	0	2
260	L	137	1	2
261	M	158	1	2
262	M	152	0	2
263	M	151	0	2
264	L	122	1	1
265	L	122	0	1
266	M	148	0	2
267	M	152	0	2
268	L	161	1	1
269	M	144	0	1
270	L	132	0	1
271	M	146	1	2
272	M	135	0	1
273	M	146	1	1
274	M	158	0	1
275	M	154	0	1
276	M	140	0	1
277	M	162	1	2
278	M	133	1	1
279	L	133	0	1
280	L	128	0	1
281	L	136	0	2
282	L	146	1	1
283	M	138	1	2
284	M	142	0	2
285	L	131	0	1
286	M	164	0	2
287	L	139	1	1
288	M	143	0	1
289	M	149	0	1
290	L	156	1	1
291	L	141	0	2
292	M	136	1	1
293	L	159	0	2
294	M	143	1	1
295	M	145	0	1
296	M	153	0	2
297	L	145	1	1
298	L	149	0	2
299	M	149	1	2
300	M	141	0	1
301	L	127	1	1
302	M	149	0	1
303	L	136	1	1
304	L	121	1	2
305	M	149	0	1
306	M	158	0	1
307	M	154	0	1
308	L	128	0	2
309	M	130	1	2
310	L	164	1	2
311	L	122	1	1
312	M	154	0	1
313	M	154	0	1
314	L	147	1	1
315	M	135	0	2
316	M	150	0	2
317	M	152	0	1
318	M	152	1	1
319	L	138	1	1
320	L	89.3	0	1
321	L	120	1	2
322	M	146	0	2
323	L	132	0	1
324	L	172	1	1
325	L	116	1	2
326	M	154	0	1
327	L	127	1	1
328	M	138	0	2
329	L	171	1	1
330	M	138	0	2
331	M	162	1	1
332	M	151	1	2
333	M	140	0	2
334	M	135	1	2
335	M	153	0	2
336	M	146	1	2
337	M	140	0	1
338	M	157	0	2
339	M	164	1	2
340	L	99.2	0	1
341	L	95.8	1	1
342	L	121	1	1
343	L	124	1	2
344	L	115	0	1
345	L	139	0	1
346	M	147	1	1
347	L	138	1	1
348	L	114	1	2
349	L	126	1	2
350	L	143	1	2
351	L	139	0	1
352	M	149	0	1
353	L	149	0	2
354	M	138	0	1
355	L	138	0	2
356	M	160	1	2
357	M	156	0	2
358	M	151	1	1
359	M	161	0	2
360	M	137	0	2
361	M	152	1	2
362	L	131	1	2
363	M	136	1	1
364	M	156	0	1
365	M	151	1	1
366	M	134	0	2
367	M	134	1	2
368	M	135	0	1
369	M	167	1	2
370	M	155	1	1
371	L	158	0	1
372	M	157	1	1
373	L	118	0	2
374	M	143	0	2
375	M	149	0	1
376	M	140	1	1
377	M	151	0	2
378	M	131	1	2
379	M	116	0	2
380	M	151	1	1
381	M	159	1	1
382	M	141	0	2
383	M	146	0	1
384	M	144	1	2
385	M	149	0	1
386	L	138	0	2
387	M	158	1	1
388	M	137	1	2
389	M	157	0	1
390	M	155	0	2
391	M	145	0	1
392	L	108	0	1
393	L	156	1	2
394	M	159	0	1
395	M	153	1	2
396	M	163	1	2
397	L	157	1	2
398	M	147	1	2
399	L	136	1	1
400	L	168	1	1
