"hauteur";"circ";"bloc";"clone"
23.25;47;"sol_A";"DH"
23;47;"sol_A";"DH"
23.25;50;"sol_A";"DH"
23.75;48;"sol_A";"DH"
23;50;"sol_A";"DH"
24.75;58;"sol_A";"DH"
25.25;60;"sol_A";"DH"
23.75;55;"sol_A";"DH"
16.75;32;"sol_A";"DH"
22.75;52;"sol_A";"DH"
24.25;54;"sol_A";"DH"
15.25;29;"sol_A";"DH"
23.25;55;"sol_A";"DH"
23.25;59;"sol_A";"DH"
24.5;60;"sol_A";"DH"
23.25;49;"sol_A";"DH"
20.75;39;"sol_A";"DH"
25.25;65;"sol_A";"DH"
22.25;49;"sol_A";"DH"
23.75;62;"sol_A";"DH"
23.75;54;"sol_A";"DH"
24.25;63;"sol_A";"DH"
23.75;54;"sol_A";"DH"
23.75;54;"sol_A";"DH"
22.25;58;"sol_A";"DH"
24.75;60;"sol_A";"DH"
25.25;59;"sol_A";"DH"
24.25;62;"sol_A";"DH"
24.75;57;"sol_A";"DH"
24.75;59;"sol_A";"DH"
22.25;57;"sol_A";"DH"
22.25;47;"sol_A";"DH"
25;62;"sol_A";"DH"
22.5;59;"sol_A";"DH"
24;58;"sol_A";"DH"
25.25;65;"sol_A";"DH"
24.25;62;"sol_A";"DH"
24.75;58;"sol_A";"DH"
25.75;65;"sol_A";"DH"
23.75;58;"sol_A";"DH"
22.5;45;"sol_A";"DH"
23.5;54;"sol_A";"DH"
20.75;47;"sol_A";"DH"
23.75;54;"sol_A";"DH"
23.25;54;"sol_A";"DH"
22;47;"sol_A";"DH"
23.25;60;"sol_A";"DH"
25.75;64;"sol_A";"DH"
25;64;"sol_A";"DH"
26;66;"sol_A";"DH"
26;60;"sol_A";"DH"
23;43;"sol_A";"DH"
20.25;36;"sol_A";"DH"
23.75;49;"sol_A";"DH"
23;42;"sol_A";"DH"
24.25;55;"sol_A";"DH"
24.75;54;"sol_A";"DH"
24.75;52;"sol_A";"DH"
24.25;48;"sol_A";"DH"
22.5;54;"sol_A";"DH"
23.25;59;"sol_A";"DH"
21.75;55;"sol_A";"DH"
22.25;55;"sol_A";"DH"
21.25;48;"sol_A";"DH"
23.25;59;"sol_A";"DH"
21.75;53;"sol_A";"DH"
23.5;59;"sol_A";"DH"
22.5;56;"sol_A";"DH"
22.25;51;"sol_A";"DH"
22.75;49;"sol_A";"DH"
22.25;51;"sol_A";"DH"
22.25;46;"sol_A";"DH"
22.75;45;"sol_A";"DH"
21.25;41;"sol_A";"DH"
22.75;51;"sol_A";"DH"
22.25;46;"sol_A";"DH"
22.75;48;"sol_A";"DH"
18.75;38;"sol_A";"DH"
23.25;55;"sol_A";"DH"
23.5;56;"sol_A";"DH"
22.25;52;"sol_A";"DH"
22.75;49;"sol_A";"DH"
23.75;55;"sol_A";"DH"
21.75;49;"sol_A";"DH"
23;52;"sol_A";"DH"
23.25;53;"sol_A";"DH"
22.25;55;"sol_A";"DH"
21.75;52;"sol_A";"DH"
21.75;53;"sol_A";"DH"
22.25;52;"sol_A";"DH"
21.5;46;"sol_A";"DH"
22;55;"sol_A";"DH"
22.25;54;"sol_A";"DH"
22.25;50;"sol_A";"DH"
23;50;"sol_A";"DH"
24.75;62;"sol_A";"DH"
23;51;"sol_A";"DH"
23.5;51;"sol_A";"DH"
23.75;53;"sol_A";"DH"
25.25;57;"sol_A";"DH"
24;55;"sol_A";"DH"
24.25;54;"sol_A";"DH"
24.75;58;"sol_A";"DH"
23;58;"sol_A";"DH"
23.75;57;"sol_A";"DH"
22;53;"sol_A";"DH"
22;53;"sol_A";"DH"
22.25;48;"sol_A";"DH"
22.25;47;"sol_A";"DH"
23.25;56;"sol_A";"DH"
23.25;56;"sol_A";"DH"
19.25;37;"sol_A";"DH"
23.25;46;"sol_A";"DH"
23.25;49;"sol_A";"DH"
23.25;53;"sol_A";"DH"
23.75;49;"sol_A";"DH"
21.75;41;"sol_A";"DH"
20.75;35;"sol_A";"DH"
23.25;50;"sol_A";"DH"
23;46;"sol_A";"DH"
19.5;42;"sol_A";"DH"
23;59;"sol_A";"DH"
19;32;"sol_A";"DH"
22;59;"sol_A";"DH"
21.75;50;"sol_A";"DH"
22.25;56;"sol_A";"DH"
23.25;59;"sol_A";"DH"
22.75;50;"sol_A";"DH"
23.25;56;"sol_A";"DH"
21.5;48;"sol_A";"DH"
22.5;51;"sol_A";"DH"
23.25;60;"sol_A";"DH"
22.25;55;"sol_A";"DH"
21.25;43;"sol_A";"DH"
25.5;55;"sol_A";"DH"
24.25;55;"sol_A";"DH"
24.75;59;"sol_A";"DH"
23.75;51;"sol_A";"DH"
23.25;49;"sol_A";"DH"
23.25;57;"sol_A";"DH"
18.25;39;"sol_A";"DH"
23.25;55;"sol_A";"DH"
23.25;53;"sol_A";"DH"
17.75;35;"sol_A";"DH"
17.75;41;"sol_A";"DH"
20.25;50;"sol_A";"DH"
20.75;53;"sol_A";"DH"
18.5;46;"sol_A";"DH"
20;52;"sol_A";"DH"
20.25;46;"sol_A";"DH"
23.25;49;"sol_A";"DH"
20.75;42;"sol_A";"DH"
20.75;42;"sol_A";"DH"
20.5;42;"sol_A";"DH"
19.25;39;"sol_A";"DH"
14.75;31;"sol_A";"DH"
20.75;45;"sol_A";"DH"
19.75;42;"sol_A";"DH"
20;41;"sol_A";"DH"
19.75;41;"sol_A";"DH"
19.75;42;"sol_A";"DH"
19.75;43;"sol_A";"DH"
18.5;36;"sol_A";"DH"
19.5;42;"sol_A";"DH"
18.75;36;"sol_A";"DH"
19.75;39;"sol_A";"DH"
21.25;47;"sol_A";"DH"
21;46;"sol_A";"DH"
18.5;35;"sol_A";"DH"
20.75;43;"sol_A";"DH"
20;42;"sol_A";"DH"
19.25;39;"sol_A";"DH"
19.5;43;"sol_A";"DH"
14.5;29;"sol_A";"DH"
20;47;"sol_A";"DH"
21.5;46;"sol_A";"DH"
22.25;50;"sol_A";"DH"
16;32;"sol_A";"DH"
21.25;52;"sol_A";"DH"
22.25;58;"sol_A";"DH"
22.5;54;"sol_A";"DH"
21.5;51;"sol_A";"DH"
22.75;54;"sol_A";"DH"
21.25;53;"sol_A";"DH"
20.5;49;"sol_A";"DH"
22.25;55;"sol_A";"DH"
21.25;57;"sol_A";"DH"
11.25;26;"sol_A";"DH"
20.5;53;"sol_A";"DH"
19.25;47;"sol_A";"DH"
17.75;42;"sol_A";"DH"
19.5;45;"sol_A";"DH"
13.75;31;"sol_A";"DH"
16.75;39;"sol_A";"DH"
14;27;"sol_A";"DH"
16.5;33;"sol_A";"DH"
19.5;40;"sol_A";"DH"
14;26;"sol_A";"DH"
15;28;"sol_A";"DH"
16.75;34;"sol_A";"DH"
19.75;44;"sol_A";"DH"
20.75;45;"sol_A";"DH"
21;55;"sol_A";"DH"
20.5;45;"sol_A";"DH"
19.75;41;"sol_A";"DH"
15.25;33;"sol_A";"DH"
18.5;39;"sol_A";"DH"
20;44;"sol_A";"DH"
21.5;53;"sol_A";"DH"
22.75;58;"sol_A";"DH"
23;59;"sol_A";"DH"
22.25;55;"sol_A";"DH"
21.75;50;"sol_A";"DH"
22.25;53;"sol_A";"DH"
22;55;"sol_A";"DH"
22.5;54;"sol_A";"DH"
21.75;53;"sol_A";"DH"
19;37;"sol_A";"DH"
21.75;52;"sol_A";"DH"
20.75;47;"sol_A";"DH"
22;46;"sol_A";"DH"
20.25;41;"sol_A";"DH"
19.75;40;"sol_A";"DH"
22;48;"sol_A";"DH"
20.25;45;"sol_A";"DH"
19.25;40;"sol_A";"DH"
22.25;47;"sol_A";"DH"
21.25;45;"sol_A";"DH"
19.75;39;"sol_A";"DH"
22.5;55;"sol_A";"DH"
22.75;56;"sol_A";"DH"
21.75;51;"sol_A";"DH"
20.75;44;"sol_A";"DH"
23.75;52;"sol_A";"DH"
20.25;39;"sol_A";"DH"
22.75;60;"sol_A";"DH"
21.75;49;"sol_A";"DH"
19;46;"sol_A";"DH"
21;57;"sol_A";"DH"
19.75;49;"sol_A";"DH"
21.25;56;"sol_A";"DH"
22;56;"sol_A";"DH"
16.25;35;"sol_A";"DH"
17.5;35;"sol_A";"DH"
18.25;37;"sol_A";"DH"
18;35;"sol_A";"DH"
22;50;"sol_A";"DH"
20.75;44;"sol_A";"DH"
21.25;45;"sol_A";"DH"
21.25;45;"sol_A";"DH"
21.5;40;"sol_A";"DH"
20.75;38;"sol_A";"DH"
16.75;35;"sol_A";"DH"
19.25;43;"sol_A";"DH"
15.75;32;"sol_A";"DH"
17.25;35;"sol_A";"DH"
17.25;36;"sol_A";"DH"
18.25;36;"sol_A";"DH"
20.75;47;"sol_A";"DH"
16.75;34;"sol_A";"DH"
17.5;34;"sol_A";"DH"
15.25;28;"sol_A";"DH"
20.75;44;"sol_A";"DH"
19.75;43;"sol_A";"DH"
17.25;36;"sol_A";"DH"
21.25;44;"sol_A";"DH"
21.5;44;"sol_A";"DH"
20.75;42;"sol_A";"DH"
18.75;36;"sol_A";"DH"
19.25;36;"sol_A";"DH"
20.75;44;"sol_A";"DH"
20.75;48;"sol_A";"DH"
20.75;45;"sol_A";"DH"
23.5;55;"sol_A";"DH"
23.25;48;"sol_A";"DH"
18;35;"sol_A";"DH"
16.5;35;"sol_A";"DH"
24.75;55;"sol_A";"DH"
17.75;32;"sol_A";"DH"
23.75;47;"sol_A";"DH"
24.25;51;"sol_A";"DH"
17.25;31;"sol_A";"DH"
17;34;"sol_A";"DH"
19.5;40;"sol_A";"DH"
18;37;"sol_A";"DH"
15.75;29;"sol_A";"DH"
19.25;41;"sol_A";"DH"
19.75;43;"sol_A";"DH"
18.5;42;"sol_A";"DH"
19;43;"sol_A";"DH"
20.25;43;"sol_A";"DH"
22.75;54;"sol_A";"DH"
21.75;46;"sol_A";"DH"
20.75;48;"sol_A";"DH"
20.75;44;"sol_A";"DH"
21.5;48;"sol_A";"DH"
22;48;"sol_A";"DH"
21;41;"sol_A";"DH"
16.25;38;"sol_A";"DH"
22;52;"sol_A";"DH"
21;47;"sol_A";"DH"
21.5;51;"sol_A";"DH"
21;45;"sol_A";"DH"
18;41;"sol_A";"DH"
20.5;47;"sol_A";"DH"
21.25;53;"sol_A";"DH"
20.5;49;"sol_A";"DH"
17.25;33;"sol_A";"DH"
19.25;43;"sol_A";"DH"
18.75;38;"sol_A";"DH"
20;42;"sol_A";"DH"
21;43;"sol_A";"DH"
19;41;"sol_A";"DH"
19;37;"sol_A";"DH"
21;49;"sol_A";"DH"
20.25;45;"sol_A";"DH"
20;43;"sol_A";"DH"
21.75;58;"sol_A";"DH"
19.5;42;"sol_A";"DH"
20.5;49;"sol_A";"DH"
19.75;48;"sol_A";"DH"
20.75;49;"sol_A";"DH"
20.75;53;"sol_A";"DH"
19;45;"sol_A";"DH"
20;51;"sol_A";"DH"
19.75;53;"sol_A";"DH"
18.75;45;"sol_A";"DH"
19.25;41;"sol_A";"DH"
20.5;44;"sol_A";"DH"
19.25;44;"sol_A";"DH"
19.25;43;"sol_A";"DH"
19.75;50;"sol_A";"DH"
19.75;43;"sol_A";"DH"
19.25;40;"sol_A";"DH"
20.5;42;"sol_A";"DH"
18.25;35;"sol_A";"DH"
17;33;"sol_A";"DH"
21;46;"sol_A";"DH"
20;41;"sol_A";"DH"
17.75;38;"sol_A";"DH"
15.75;33;"sol_A";"DH"
18.75;37;"sol_A";"DH"
23.25;48;"sol_A";"DH"
23.25;49;"sol_A";"DH"
19.75;34;"sol_A";"DH"
23.75;54;"sol_A";"DH"
24.75;53;"sol_A";"DH"
23.5;52;"sol_A";"DH"
15.25;30;"sol_A";"DH"
20.25;44;"sol_A";"DH"
22.75;56;"sol_A";"DH"
23.25;59;"sol_A";"DH"
20.25;41;"sol_A";"DH"
20.5;47;"sol_A";"DH"
21.75;53;"sol_A";"DH"
21.25;45;"sol_A";"DH"
23.25;57;"sol_A";"DH"
19.75;45;"sol_A";"DH"
23.25;55;"sol_A";"DH"
19.5;43;"sol_A";"DH"
22.75;52;"sol_A";"DH"
15;31;"sol_A";"DH"
23.75;59;"sol_A";"DH"
23;60;"sol_A";"DH"
21.75;50;"sol_A";"DH"
23.25;57;"sol_A";"DH"
22.75;54;"sol_A";"DH"
24.25;60;"sol_A";"DH"
24.75;61;"sol_A";"DH"
22.75;52;"sol_A";"DH"
24;55;"sol_A";"DH"
21.75;47;"sol_A";"DH"
23.75;59;"sol_A";"DH"
25;62;"sol_A";"DH"
24.25;61;"sol_A";"DH"
23.25;58;"sol_A";"DH"
22.25;51;"sol_A";"DH"
23.5;56;"sol_A";"DH"
26;68;"sol_A";"DH"
25.25;63;"sol_A";"DH"
24.75;61;"sol_A";"DH"
21.75;56;"sol_A";"DH"
21.75;49;"sol_A";"DH"
21.75;49;"sol_A";"DH"
21.75;54;"sol_A";"DH"
21.5;47;"sol_A";"DH"
22.25;55;"sol_A";"DH"
19.5;39;"sol_A";"DH"
21.25;47;"sol_A";"DH"
22;49;"sol_A";"DH"
17.25;40;"sol_A";"autres"
19;49;"sol_A";"autres"
18.25;46;"sol_A";"autres"
14.25;31;"sol_A";"autres"
19;51;"sol_A";"autres"
15;33;"sol_A";"autres"
15;33;"sol_A";"autres"
17;38;"sol_B";"autres"
18.5;46;"sol_B";"autres"
16.5;37;"sol_B";"autres"
17;40;"sol_B";"autres"
16;35;"sol_B";"autres"
13.5;30;"sol_B";"autres"
20.5;36;"sol_B";"autres"
21;41;"sol_B";"autres"
17.75;30;"sol_B";"autres"
18.25;36;"sol_B";"autres"
18.5;36;"sol_B";"autres"
16.5;31;"sol_B";"autres"
21;42;"sol_B";"autres"
16;26;"sol_B";"autres"
20.75;41;"sol_B";"autres"
18.75;37;"sol_B";"autres"
19.25;38;"sol_B";"autres"
16.75;36;"sol_B";"autres"
19;40;"sol_B";"autres"
20.75;44;"sol_B";"autres"
18.25;35;"sol_B";"autres"
20;42;"sol_B";"autres"
23;58;"sol_B";"DH"
23;58;"sol_B";"DH"
24.5;64;"sol_B";"DH"
20.75;50;"sol_B";"DH"
23.5;56;"sol_B";"DH"
16;39;"sol_B";"DH"
24;64;"sol_B";"DH"
21.75;47;"sol_B";"DH"
23.5;63;"sol_B";"DH"
24.25;60;"sol_B";"DH"
23.25;58;"sol_B";"DH"
22.75;58;"sol_B";"DH"
16;33;"sol_B";"DH"
22.75;54;"sol_B";"DH"
24.25;60;"sol_B";"DH"
20.75;42;"sol_B";"DH"
22.25;49;"sol_B";"DH"
16.75;32;"sol_B";"DH"
21.75;44;"sol_B";"DH"
15.25;29;"sol_B";"DH"
20;41;"sol_B";"DH"
16.75;30;"sol_B";"DH"
17.75;33;"sol_B";"DH"
12.75;27;"sol_B";"DH"
20.5;41;"sol_B";"DH"
19.25;40;"sol_B";"DH"
23.5;56;"sol_B";"DH"
20.75;45;"sol_B";"DH"
22.25;54;"sol_B";"DH"
22.5;55;"sol_B";"DH"
21.75;48;"sol_B";"DH"
20.75;48;"sol_B";"DH"
22.25;52;"sol_B";"DH"
23.75;53;"sol_B";"DH"
22.75;50;"sol_B";"DH"
23.25;53;"sol_B";"DH"
22.75;49;"sol_B";"DH"
22.25;51;"sol_B";"DH"
22.25;51;"sol_B";"DH"
22.75;50;"sol_B";"DH"
21.75;52;"sol_B";"DH"
23.25;63;"sol_B";"DH"
21;52;"sol_B";"DH"
21.75;54;"sol_B";"DH"
15.5;32;"sol_B";"DH"
22.5;58;"sol_B";"DH"
22.75;57;"sol_B";"DH"
19.25;44;"sol_B";"DH"
22.5;55;"sol_B";"DH"
19.5;47;"sol_B";"DH"
21.25;43;"sol_B";"DH"
19.75;41;"sol_B";"DH"
21.75;50;"sol_B";"DH"
20.25;42;"sol_B";"DH"
20.75;44;"sol_B";"DH"
18.25;41;"sol_B";"DH"
21.5;48;"sol_B";"DH"
22.75;55;"sol_B";"DH"
21.75;50;"sol_B";"DH"
18;39;"sol_B";"DH"
21.25;46;"sol_B";"DH"
18.75;40;"sol_B";"DH"
21.25;47;"sol_B";"DH"
15.75;35;"sol_B";"DH"
19.5;46;"sol_B";"DH"
19.25;39;"sol_B";"DH"
18;34;"sol_B";"DH"
18.5;39;"sol_B";"DH"
22.75;49;"sol_B";"DH"
21.75;41;"sol_B";"DH"
22;50;"sol_B";"DH"
21.5;48;"sol_B";"DH"
22;48;"sol_B";"DH"
20.25;43;"sol_B";"DH"
20.75;42;"sol_B";"DH"
21.25;48;"sol_B";"DH"
19.5;38;"sol_B";"DH"
22.25;47;"sol_B";"DH"
21;48;"sol_B";"DH"
22;47;"sol_B";"DH"
20.5;42;"sol_B";"DH"
20.75;46;"sol_B";"DH"
20.5;47;"sol_B";"DH"
21.5;52;"sol_B";"DH"
21.25;43;"sol_B";"DH"
19.75;46;"sol_B";"DH"
21.75;50;"sol_B";"DH"
21.75;51;"sol_B";"DH"
18.5;43;"sol_B";"DH"
21.25;46;"sol_B";"DH"
21.25;45;"sol_B";"DH"
23;44;"sol_B";"DH"
22.75;49;"sol_B";"DH"
22;44;"sol_B";"DH"
22;42;"sol_B";"DH"
20.5;38;"sol_B";"DH"
22.75;47;"sol_B";"DH"
22.75;50;"sol_B";"DH"
23.75;56;"sol_B";"DH"
13.75;28;"sol_B";"DH"
23.25;56;"sol_B";"DH"
22.75;48;"sol_B";"DH"
22.25;58;"sol_B";"DH"
22.25;48;"sol_B";"DH"
20.75;39;"sol_B";"DH"
19.75;41;"sol_B";"DH"
22.25;54;"sol_B";"DH"
20;41;"sol_B";"DH"
22.5;52;"sol_B";"DH"
22;50;"sol_B";"DH"
17.75;36;"sol_B";"DH"
22.75;49;"sol_B";"DH"
23.25;49;"sol_B";"DH"
22.25;55;"sol_B";"DH"
23.75;54;"sol_B";"DH"
23.75;49;"sol_B";"DH"
22.5;50;"sol_B";"DH"
17.75;35;"sol_B";"DH"
24;56;"sol_B";"DH"
18.5;38;"sol_B";"DH"
23.25;55;"sol_B";"DH"
23.5;52;"sol_B";"DH"
21.5;46;"sol_B";"DH"
23.5;55;"sol_B";"DH"
23;50;"sol_B";"DH"
22.75;54;"sol_B";"DH"
24.75;64;"sol_B";"DH"
23.25;55;"sol_B";"DH"
23.75;55;"sol_B";"DH"
23.75;57;"sol_B";"DH"
24.5;60;"sol_B";"DH"
18.5;34;"sol_B";"DH"
21.5;57;"sol_B";"DH"
21.25;49;"sol_B";"DH"
23;55;"sol_B";"DH"
21;50;"sol_B";"DH"
23.75;62;"sol_B";"DH"
23;57;"sol_B";"DH"
21.25;47;"sol_B";"DH"
20;52;"sol_B";"DH"
22.25;51;"sol_B";"DH"
22.25;51;"sol_B";"DH"
23.25;51;"sol_B";"DH"
22.75;49;"sol_B";"DH"
22.25;50;"sol_B";"DH"
23.75;54;"sol_B";"DH"
22.25;44;"sol_B";"DH"
23.5;53;"sol_B";"DH"
24.75;61;"sol_B";"DH"
21.75;46;"sol_B";"DH"
22.5;52;"sol_B";"DH"
21.5;55;"sol_B";"DH"
23.25;57;"sol_B";"DH"
21;46;"sol_B";"DH"
23.5;55;"sol_B";"DH"
22.25;53;"sol_B";"DH"
22.75;56;"sol_B";"DH"
22.5;52;"sol_B";"DH"
22.75;58;"sol_B";"DH"
20.75;51;"sol_B";"DH"
19.25;41;"sol_B";"DH"
21.75;48;"sol_B";"DH"
23.5;56;"sol_B";"DH"
22.25;52;"sol_B";"DH"
12.75;27;"sol_B";"DH"
25.25;61;"sol_B";"DH"
25.25;65;"sol_B";"DH"
21.25;48;"sol_B";"DH"
23.25;58;"sol_B";"DH"
23.75;56;"sol_B";"DH"
20.75;51;"sol_B";"DH"
24.25;59;"sol_B";"DH"
22.75;50;"sol_B";"DH"
24.75;54;"sol_B";"DH"
22;44;"sol_B";"DH"
24.75;57;"sol_B";"DH"
24.25;51;"sol_B";"DH"
24.75;52;"sol_B";"DH"
21.75;44;"sol_B";"DH"
23.75;53;"sol_B";"DH"
21.25;40;"sol_B";"DH"
21.25;49;"sol_B";"DH"
24.25;57;"sol_B";"DH"
22.25;52;"sol_B";"DH"
23;55;"sol_B";"DH"
22.5;50;"sol_B";"DH"
19.75;45;"sol_B";"DH"
23.25;59;"sol_B";"DH"
21;42;"sol_B";"DH"
23;48;"sol_B";"DH"
20;41;"sol_B";"DH"
23;49;"sol_B";"DH"
22.5;42;"sol_B";"DH"
20.25;39;"sol_B";"DH"
20;38;"sol_B";"DH"
22;45;"sol_B";"DH"
22;53;"sol_B";"DH"
22.5;56;"sol_B";"DH"
22.25;49;"sol_B";"DH"
22.25;51;"sol_B";"DH"
20.25;39;"sol_B";"DH"
21;47;"sol_B";"DH"
22.75;52;"sol_B";"DH"
19.75;36;"sol_B";"DH"
21.75;47;"sol_B";"DH"
23.25;55;"sol_B";"DH"
21.5;42;"sol_B";"DH"
24;57;"sol_B";"DH"
23.75;60;"sol_B";"DH"
18.75;36;"sol_B";"DH"
22;49;"sol_B";"DH"
24.5;61;"sol_B";"DH"
24.5;56;"sol_B";"DH"
21.5;53;"sol_B";"DH"
19.5;39;"sol_B";"DH"
22.5;57;"sol_B";"DH"
20.25;46;"sol_B";"DH"
21.25;53;"sol_B";"DH"
21.75;56;"sol_B";"DH"
21;53;"sol_B";"DH"
22;54;"sol_B";"DH"
20.5;46;"sol_B";"DH"
18.25;35;"sol_B";"DH"
23.75;50;"sol_B";"DH"
23.25;53;"sol_B";"DH"
23.75;53;"sol_B";"DH"
24.25;55;"sol_B";"DH"
23.75;51;"sol_B";"DH"
23.25;57;"sol_B";"DH"
24.5;63;"sol_B";"DH"
23.25;54;"sol_B";"DH"
22.25;49;"sol_B";"DH"
22.75;51;"sol_B";"DH"
22.75;50;"sol_B";"DH"
23.25;55;"sol_B";"DH"
24.25;64;"sol_B";"DH"
23.75;55;"sol_B";"DH"
24;64;"sol_B";"DH"
23.5;61;"sol_B";"DH"
24.75;65;"sol_B";"DH"
24.25;61;"sol_B";"DH"
19.5;43;"sol_B";"DH"
24.5;63;"sol_B";"DH"
20;45;"sol_B";"DH"
24;63;"sol_B";"DH"
24.25;55;"sol_B";"DH"
23.75;53;"sol_B";"DH"
21;42;"sol_B";"DH"
23;48;"sol_B";"DH"
16.25;29;"sol_B";"DH"
23.25;51;"sol_B";"DH"
22.5;46;"sol_B";"DH"
23.75;49;"sol_B";"DH"
21;47;"sol_B";"DH"
22.5;53;"sol_B";"DH"
23.75;55;"sol_B";"DH"
21.5;52;"sol_B";"DH"
22;50;"sol_B";"DH"
22;48;"sol_B";"DH"
21.75;53;"sol_B";"DH"
22.25;57;"sol_B";"DH"
23.75;59;"sol_B";"DH"
22.25;56;"sol_B";"DH"
23.75;58;"sol_B";"DH"
23.25;60;"sol_B";"DH"
20.25;44;"sol_B";"DH"
18.5;39;"sol_B";"DH"
21.25;52;"sol_B";"DH"
22.5;56;"sol_B";"DH"
23.75;60;"sol_B";"DH"
23;54;"sol_B";"DH"
23.75;60;"sol_B";"DH"
23.75;56;"sol_B";"DH"
24.75;58;"sol_B";"DH"
22.75;55;"sol_B";"DH"
22.5;54;"sol_B";"DH"
22.75;53;"sol_B";"DH"
22;49;"sol_B";"DH"
22.5;54;"sol_B";"DH"
23.25;56;"sol_B";"DH"
22;50;"sol_B";"DH"
21.5;49;"sol_B";"DH"
21.75;45;"sol_B";"DH"
21.5;61;"sol_B";"DH"
20;53;"sol_B";"DH"
20.25;56;"sol_B";"DH"
16;36;"sol_B";"DH"
19.5;50;"sol_B";"DH"
19.25;41;"sol_B";"DH"
19.5;47;"sol_B";"DH"
