"sexe";"zep";"poids";"an";"mois";"taille";"IMC";"age"
"F";"O";15.7;4;0;0.975;16.5;4
"F";"N";15.2;3;10;1.02;14.6;3.8
"G";"O";18;3;9;1.01;17.6;3.8
"G";"N";15.5;3;10;0.99;15.8;3.8
"G";"N";19;3;9;1.06;16.9;3.8
"F";"N";17.3;4;5;1.045;15.8;4.4
"G";"N";18;3;10;1.05;16.3;3.8
"F";"N";15;3;7;0.99;15.3;3.6
"F";"N";16;3;8;1.01;15.7;3.7
"F";"N";14.5;3;8;0.91;17.5;3.7
"G";"N";13.5;3;2;0.962;14.6;3.2
"G";"O";16.5;3;8;1.025;15.7;3.7
"F";"O";14;3;7;1;14;3.6
"G";"N";18;4;3;1.07;15.7;4.2
"F";"N";14.8;4;0;1.025;14.1;4
"G";"N";15;3;8;0.97;15.9;3.7
"G";"N";16;4;3;1.05;14.5;4.2
"G";"O";18.5;3;5;1.04;17.1;3.4
"F";"N";15.5;4;3;1.04;14.3;4.2
"F";"O";15.5;3;9;0.965;16.6;3.8
"G";"N";13;3;3;0.92;15.4;3.2
"G";"N";17.5;3;10;1.01;17.2;3.8
"G";"O";18.7;3;10;1.04;17.3;3.8
"G";"N";17;4;3;1.01;16.7;4.2
"G";"N";16.5;3;1;1.01;16.2;3.1
"G";"N";16.5;3;8;1.03;15.6;3.7
"G";"N";15.8;3;7;0.98;16.5;3.6
"F";"N";15.9;4;0;1.05;14.4;4
"G";"N";19.6;4;3;1.085;16.6;4.2
"F";"N";16.5;3;9;1;16.5;3.8
"F";"N";14;3;11;1.01;13.7;3.9
"G";"N";13.7;3;2;0.96;14.9;3.2
"F";"O";19.5;3;8;1.01;19.1;3.7
"G";"N";12;4;2;0.95;13.3;4.2
"G";"N";17;3;9;1.015;16.5;3.8
"G";"N";17;3;6;0.99;17.3;3.5
"F";"N";14.3;3;4;0.98;14.9;3.3
"F";"N";17.8;3;11;1.055;16;3.9
"F";"N";15.7;3;7;0.985;16.2;3.6
