"year";"length";"budget";"rating";"votes"
"Day Without a Mexican, A";2004;100;1500000;5;561
"Girl, Interrupted";1999;127;24000000;7;16362
"Line of Masculinity, The";2003;4;1000;8.2;10
"Have Rocket, Will Travel";1959;76;380000;5.6;93
"Cursed";2005;97;35000000;4.7;1277
"Airborne";1993;91;2600000;5.2;1047
"Johnson Family Vacation";2004;97;12000000;3.6;955
"Delivered";1998;93;1000000;5.1;73
"Mutant Aliens";2001;81;200000;6.4;223
"Rock and Roll Fantasy";1992;90;50000;4.4;37
"Avalon";2001;106;8000000;6.8;2723
"Dark Star";1974;83;60000;6.6;3527
"Run, Angel, Run";1969;95;96000;5.4;28
"Noah's Ark";1929;75;2000000;5.9;73
"Beautiful Country, The";2004;137;6000000;6.9;115
"Kissing Jessica Stein";2001;97;1000000;7;4236
"Ninotchka";1939;100;1365000;7.9;2388
"MindField";2003;63;6000;9;5
"Dead Next Door, The";1988;84;75000;4.8;275
"AVP: Alien Vs. Predator";2004;102;45000000;5.4;14651
"Frequency";2000;118;31000000;7.4;15317
"Bonfire of the Vanities, The";1990;125;47000000;5;4151
"Naked Zoo, The";1971;78;250000;1.3;5
"Shanghai Cobra, The";1945;64;75000;5.9;55
"Too Late Blues";1961;103;375000;6.6;64
"Rymdinvasion i Lappland";1959;81;40000;2.9;122
"Rope";1948;80;1500000;7.8;7916
"Constantine";2005;121;100000000;6.4;11633
"Much Ado About Nothing";1993;111;8000000;7.5;12491
"Cat in the Hat, The";2003;82;109000000;3.2;4997
"Sweet November";2001;115;40000000;5.5;5458
"Death Bed: The Bed That Eats";1977;80;30000;6.1;55
"Are We There Yet?";2005;95;32000000;3.5;1043
"Elephant";2003;81;3000000;7.3;9203
"Blob, The";1958;82;240000;6;2143
"Song of Bernadette, The";1943;156;2000000;7.7;671
"Wisegirls";2002;96;11000000;5.7;792
"Daredevil";2003;133;75000000;5.7;20642
"Eating";2005;13;60000;9.1;7
"Marty";1955;94;343000;7.7;2075
"Two Weeks Notice";2002;101;60000000;5.8;15010
"Coming to America";1988;116;28000000;6.6;13103
"Walk in the Sun, A";1945;117;800000;7.8;482
"Quick and the Dead, The";1995;107;32000000;6.1;8837
"Shall We Dance";1937;109;991000;7.6;603
"Philadelphia";1993;125;26000000;7.5;17861
"Adventures of Rocky & Bullwinkle, The";2000;88;76000000;4.3;4815
"Arlington Road";1999;117;21500000;7.1;17189
"Natural Born Killers";1994;122;50000000;6.6;25596
"Thomas Crown Affair, The";1968;102;4300000;6.7;2766
"Birthday Girl";2001;93;13000000;6.1;5340
"Oblivion 2: Backlash";1996;83;2500000;5.1;92
"Vampire in Brooklyn";1995;100;14000000;4.4;2716
"Summer Catch";2001;105;17000000;4.5;2581
"Lolita";1962;152;2000000;7.6;9150
"Barbary Coast";1935;91;778000;6.6;168
"Guru, The";2002;94;11000000;5.9;3505
"Warning, The";2004;9;6500;7;9
"North to Alaska";1960;122;3500000;6.7;777
"Take Me Somewhere Nice";2004;17;8000;8.8;8
"Band of the Hand";1986;109;8700000;4.9;378
"Silver Bullet";1985;95;7000000;5.6;2000
"Saturn";1999;94;350000;5.5;43
"Along Came Polly";2004;90;42000000;5.8;9785
"Spudmonkey";2001;88;1100000;7.8;8
"Elf";2003;95;33000000;7;10165
"Apt Pupil";1998;112;14000000;6.4;6728
"Curucu, Beast of the Amazon";1956;76;155000;5.6;27
"Adventures of Elmo in Grouchland, The";1999;89;17000000;5.5;420
"Frankenstein Meets the Spacemonster";1965;79;60000;2.5;72
"28 Days";2000;103;43000000;6;7465
"Judgment at Nuremberg";1961;186;3000000;8.2;3336
"Cellar, The";2003;20;5000;7.1;5
"Brothers McMullen, The";1995;98;23800;6.4;2325
"Traffic in Souls";1913;88;5700;6.2;44
"Kiss or Kill";1997;96;2000000;6.2;590
"Buffalo Bill and the Indians, or Sitting Bull's History Lesson";1976;123;6000000;5.6;452
"Mercy Streets";2000;106;600000;4.6;149
"Adventures of Dollie, The";1908;12;0;5.1;34
"Mulan";1998;88;70000000;7.2;11192
"Drumline";2002;118;20000000;5.3;7368
"Jing Gai'er";2004;108;700000;8.9;14
"FearDotCom";2002;101;42000000;3.2;5126
"Invaders from Mars";1986;99;12000000;4.6;675
"Running Brave";1983;106;8000000;6.1;156
"Friends Like These";2005;5;0;9;8
"Unendliche Geschichte, Die";1984;94;27000000;7.2;6742
"Insight of Evil";2003;80;120000;5.1;11
"Blood Alley";1955;115;2000000;5.7;316
"101-vy kilometer";2001;103;200000;5.8;7
"Agent Cody Banks";2003;102;26000000;5.5;2655
"Jaws 3-D";1983;99;20500000;3.2;5028
"Rutland, USA";2002;100;4000;3.9;15
"On the Border";1998;103;3000000;4.8;165
"Star of Midnight";1935;90;280000;7;89
"Brat 2";2000;122;1500000;6.7;528
"Charade";1963;113;4000000;8.1;9046
"Gift, The";2000;111;10000000;6.8;12440
"Gandhi";1982;188;22000000;8;15879
"V leru";1999;92;250000;7;114
"Jonathan Livingston Seagull";1973;120;1500000;4.6;250
"Austin Powers: The Spy Who Shagged Me";1999;95;33000000;6.5;37019
"Citizen Kane";1941;119;686033;8.7;61083
"Greetings";1968;88;39000;5.6;349
"Raising Victor Vargas";2002;88;800000;6.7;1785
"Radio Flyer";1992;114;35000000;6.4;2447
"Book of Shadows: Blair Witch 2";2000;90;15000000;4.2;6532
"Boys from Brazil, The";1978;123;12000000;6.8;2826
"Bubba Ho-tep";2002;92;1000000;7.5;7142
"Hedwig and the Angry Inch";2001;93;6000000;7.7;6072
"Cop Land";1997;116;15000000;6.7;12677
"Dead Babies";2000;100;1000000;4.3;172
"Mad Love";1935;68;257502;7.1;322
"Moment of Grace, A";2004;20;50000;8.6;14
"Forever Lulu";2000;99;20000000;5.5;257
"Atlantic City";1980;104;7200000;7.5;2384
"It Started with Eve";1941;90;1166000;7.4;136
"Svoi";2004;111;2500000;8.4;97
"Armageddon";1998;153;140000000;5.7;45330
"Darling Lili";1970;107;25000000;5.9;287
"Bring It On";2000;98;10000000;6.1;11784
"Solaris";2002;99;47000000;6.3;11808
"Snell Show, The";2003;8;6000;9.2;15
"Kid from Borneo, The";1933;18;21500;8;65
"Forsaken, The";2001;90;5000000;5.1;1928
"Gold Rush, The";1925;82;923000;8.3;6429
"ABCD";1999;105;200000;5.4;88
"Swimfan";2002;85;8500000;4.5;3863
"Giant Gila Monster, The";1959;74;138000;2.8;432
"Big Tease, The";1999;86;4000000;6.1;670
"Visage, The";2003;40;60000;7.2;8
"Unsaid, The";2001;108;22000000;6.5;1084
"Sibirskiy tsiryulnik";1998;275;35000000;7.1;1254
"Last Time I Saw Archie, The";1961;98;2000000;5.7;73
"New Guy";2003;85;55000;7.5;47
"Love Letter, The";1999;88;15000000;5.2;1258
"My Fair Lady";1964;170;17000000;7.8;12721
"Misbehavers, The";2004;120;10000;7.7;21
"Trois";2000;93;200000;3.1;176
"Oz";1976;90;150000;3.8;25
"Welcome to Sarajevo";1997;103;9000000;6.8;1465
"Runaway Jury";2003;127;60000000;7.1;10761
"Blue Crush";2002;104;30000000;5.7;4791
"Grimm";2003;110;3700000;6.2;201
"Gods and Monsters";1998;105;3500000;7.6;9020
"Mindhunters";2004;102;27000000;6.3;3925
"HipHopBattle.com: Hip Hop 4 Life";2001;98;12000;5.7;15
"Queen of the Damned";2002;104;35000000;4.7;6999
"Panic Room";2002;113;48000000;7;24302
"Hempsters: Plant the Seed";2003;90;250000;6.4;6
"Fire Over Afghanistan";2003;92;155000;4.5;67
"Legend of Boggy Creek, The";1973;85;100000;4.3;273
"Queen Christina";1933;97;1114000;7.7;727
"Motor Psycho";1965;74;38000;4.9;151
"To Catch a Thief";1955;106;2500000;7.4;6053
"Apocalypse Now";1979;202;31500000;8.5;64785
"Evil Alien Conquerors";2002;89;500000;3.8;111
"Star-Crossed";2003;105;2500;8.4;69
"Pest, The";1997;84;17000000;3.8;1405
"House of the Long Shadows";1983;100;7500000;5.8;239
"Remember the Titans";2000;113;30000000;7.4;14195
"Scorpio Rising";1964;30;16000;6.6;284
"Bamboozled";2000;135;10000000;6.3;2356
"Crow: Salvation, The";2000;102;25000000;4.9;1383
"Rancid Aluminium";2000;88;12000000;3.5;352
"Bulldog Drummond";1929;90;550000;6.6;91
"Jing cha gu shi III: Chao ji jing cha";1992;95;900000;6.7;2024
"Wednesday Afternoon";2004;24;40000;8.3;17
"King & Country";1964;89;300000;7.9;144
"Cold Mountain";2003;152;83000000;7.4;15712
"High Crimes";2002;115;42000000;6.1;6043
"Killing, The";1956;85;320000;8.1;6980
"Original Gangstas";1996;99;4800000;5.3;216
"Crossfire";1947;86;250000;7.6;593
"Dragon: The Bruce Lee Story";1993;119;14000000;6.7;3244
"Mystic River";2003;137;30000000;8;28969
"His People";1925;93;93000;6.7;6
"Stanley";1972;108;125000;3.9;36
"Because of Winn-Dixie";2005;106;14000000;5.9;483
"Straw Dogs";1971;113;3251794;7.4;4755
"Keep, The";1983;96;6000000;5.4;1217
"Teenage Mutant Ninja Turtles";1990;93;13500000;5.5;6946
"Moon and Sixpence, The";1943;89;401000;6.7;34
"Gog";1954;85;250000;5;71
"Nightmare Sisters";1987;83;40000;3.5;55
"Along Came a Spider";2001;104;28000000;6.1;9456
"Buck Privates";1941;84;180000;6.8;461
"Raiders of the Lost Ark";1981;115;20000000;8.7;93511
"Trainspotting";1996;94;3500000;8;51887
"Prowler, The";1981;87;1000000;4.7;332
"Five Graves to Cairo";1943;96;855000;7.6;379
"Bear, The";1984;110;221000;5.9;135
"Doctor Zhivago";1965;200;11000000;7.9;10283
"Nickelodeon";1976;121;9000000;6;291
"Top Dog";1995;86;6000000;3.3;348
"My Fellow Americans";1996;101;21500000;6.3;2752
"Never Let Me Go";1953;69;1500000;5.4;76
"Shakespeare's Dilemma";2003;38;0;8;8
"Dark Command";1940;94;1000000;6.4;301
"Trash";1970;110;25000;6.7;316
"Rachel's Attic";2002;112;83000;2.4;58
"Love in the Afternoon";1957;125;2100000;7.3;1125
"Musketeer, The";2001;104;40000000;4.4;3966
"Legally Blonde 2: Red, White & Blonde";2003;95;45000000;4.4;6293
"Mutiny on the Bounty";1935;127;1950000;7.8;2548
"Faces";1968;130;275000;7.4;770
"Body of Influence 2";1996;87;1200000;3.4;44
"Naturally Native";1998;107;700000;8.5;26
"Machuca";2004;121;1500000;8.4;449
"Judith of Bethulia";1914;61;36000;6.9;47
"Last Soviet Movie, The";2003;80;3500000;7.6;6
"Fantasia";1940;80;2280000;7.8;14925
"Made";2001;94;5000000;6.5;4487
"Lost Souls";2000;97;28000000;4.6;3423
"Guest of Honor, The";2001;15;30000;6.8;15
"Shooting Fish";1997;103;3000000;6.6;2701
"Enter the Dragon";1973;99;850000;7.4;8078
"Kinky Coaches and the Pom Pom Pussycats, The";1981;91;2500000;1.9;16
"Aimee Semple McPherson";2004;112;500000;8.4;8
"Black Hole, The";1979;98;18500000;5.4;3425
"Husbands and Wives";1992;108;20000000;7.4;3622
"Running Man, The";1987;101;27000000;6.2;11847
"Mackenna's Gold";1969;136;7000000;6.2;644
"Spirithunter, The";2004;115;100000;8.3;7
"Scarlett Mecca and the Pentagram Girl";2000;20;20000;6.3;8
"Yards, The";2000;115;20000000;6.3;3386
"Sirota kazanskaya";1997;82;800000;7;47
"Terminal Choice";1985;93;3900000;5.1;69
"Dead of Night";1974;88;235000;6;206
"Far and Away";1992;140;30000000;6.2;8556
"Insutooru";2004;94;2000000;6.1;7
"Reasonable Man, A";1999;103;61000;7.3;85
"Midnight Cowboy";1969;113;3600000;7.9;13091
"Glory";1989;122;18000000;8.1;21861
"Friday the 13th";1980;95;700000;5.8;7475
"Rudolph Valentino and His 88 American Beauties";1923;13;0;4.1;9
"Teen Wolf Too";1987;95;3000000;2.7;2209
"Shade";2003;101;6800000;6.5;1616
"Life";1999;108;75000000;5.8;4857
"Blood of the Samurai";2001;75;2000;6.5;18
"Conformista, Il";1970;115;750000;7.7;1348
"Snake Eyes";1998;98;73000000;5.7;12091
"I Married a Strange Person!";1997;74;250000;6.2;391
"West Beyrouth";1998;105;800000;7.3;462
"Temporary Girl";1998;90;250000;7.5;21
"Boys Night Out";1996;34;30000;7.7;9
"Bridge Too Far, A";1977;176;26000000;7;5527
"This Is Elvis";1981;144;5000000;6.2;200
"Corky Romano";2001;86;11000000;4.6;2463
"Fascination";2004;95;5000000;3.3;124
"Money Train";1995;103;68000000;5.1;5081
"MASH";1970;112;3500000;7.8;14829
"Tingler, The";1959;82;250000;6.5;550
"Blue Hill Avenue";2001;120;1200000;6.6;85
"Tin Men";1987;110;11000000;6.4;2065
"Shampoo Horns";1998;89;2500000;4.3;21
"Therapy Group";2003;3;1000;6.1;5
"Dirty Dancing";1987;100;6000000;5.9;14407
"Pick-up Artist, The";1987;81;15000000;4.8;870
"Shot at Glory, A";2000;114;9000000;6.3;286
"No Witness";2004;95;350000;3.8;9
"High, Wide, and Handsome";1937;110;1900000;7;24
"Next Best Thing, The";2000;108;25000000;4.7;3131
"Christine";1983;110;9700000;6;5666
"Igry motylkov";2004;105;1200000;7.3;23
"Dumb and Dumberer: When Harry Met Lloyd";2003;85;19000000;3.3;4689
"Otra conquista, La";1998;106;3500000;6.7;140
"Chopin. Pragnienie milosci";2002;134;3500000;4;55
"Feet First";1930;93;647000;7;78
"Kiss of the Dragon";2001;98;25000000;6.2;7887
"Super Mario Bros.";1993;104;42000000;3.6;5376
"Supergirl";1984;150;35000000;3.9;2490
"Bingo";1991;89;10000000;4.1;374
"Could This Be Love?";1973;29;5000;3.6;8
"Mommy";1995;89;700000;5.2;62
"Men in Black";1997;98;90000000;6.8;53231
"Wedding Advice: Speak Now or Forever Hold Your Peace";2002;57;150000;9.1;36
"Bound by Honor";1993;190;35000000;7.4;2499
"Sara";1997;105;835000;6.3;175
"Outsiders, The";1983;91;10000000;6.8;7125
"Voice in the Wind, A";1944;85;50000;5.4;9
"Levity";2003;100;7500000;6.4;1459
"Lunatics: A Love Story";1991;87;850000;5.4;135
"Two Story House";2003;14;3000;8;8
"Hideous Sun Demon, The";1959;74;58500;3.6;120
"Whisky";2004;99;500000;8;368
"Beyond the Time Barrier";1960;75;125000;4.3;79
"Claudine's Return";1998;91;2000000;3.8;80
"San Francisco";1936;115;1300000;7.5;676
"Octopussy";1983;131;27500000;6.4;8331
"Autumn in New York";2000;103;40000000;4.7;3731
"Antman, The";2002;94;800000;7.2;53
"Wall Street";1987;125;15000000;7.2;11269
"One Dark Night";1983;94;978000;4;121
"Maquinista, El";2004;102;5000000;7.7;4322
"Key West: City of Colors";2004;64;90000;8.4;5
"Mysterious Lady, The";1928;89;337000;7;78
"Ballad of Cable Hogue, The";1970;121;3716946;7.2;712
"Buena onda";1999;11;2000;5.2;10
"Psychomania";1964;90;42000;3.6;11
"Mishima: A Life in Four Chapters";1985;121;5000000;7.5;772
"Mute Witness";1994;95;2000000;6.8;1202
"Woo";1998;84;13000000;3.5;407
"Harrison Macauley Is Going to Kill Me";2003;68;50000;6;7
"Never Say Never Again";1983;121;36000000;6.1;7537
"Last Samurai, The";2003;154;100000000;7.9;31668
"Session 9";2001;97;1500000;6.6;3718
"Up 'n' Under";1998;99;1000000;5.2;262
"Civil Brand";2002;95;500000;4.1;102
"Nanook of the North";1922;79;53000;7.6;846
"May";2002;93;1700000;6.8;3324
"Dr. Phibes Rises Again";1972;89;75000;6.3;663
"Husbands";1970;131;1000000;7;373
"Quo Vadis?";2001;165;18000000;6.1;250
"Noodle Soup";2003;8;15000;8.2;7
"Hukkle";2002;75;100000;7.1;433
"Star Trek III: The Search for Spock";1984;105;17000000;6.2;9808
"UnConventional";2004;99;50000;4.6;10
"Forty Shades of Blue";2005;108;1500000;4.2;57
"Westward Ho";1935;61;35000;4;36
"Leather Jacket Love Story";1997;85;67000;6.1;110
"Proof of Life";2000;135;65000000;6.3;9592
"Invisible Stripes";1939;81;500000;6.8;111
"Journey to the Seventh Planet";1962;83;74600;4.2;124
"Nothing to Lose";1996;108;200000;4.7;138
"Focus Group";2004;29;8000;9.5;6
"Ice Cream Man";1995;84;2000000;4.2;349
"Shark Tale";2004;90;75000000;5.9;7819
"Airport";1970;137;10000000;6.4;2918
"Darkman";1990;96;16000000;6.1;6130
"Blind Horizon";2003;99;5100000;5.5;801
"Man's Best Friend";1993;95;6000000;4.4;511
"Beavis and Butt-Head Do America";1996;81;12000000;6.2;9491
"Cremaster 2";1999;79;1700000;6.5;152
"Hitch";2005;118;70000000;6.8;7554
"Marie Antoinette";1938;160;2926000;7.1;255
"High Sierra";1941;100;455000;7.5;1640
"Poseidon Adventure, The";1972;117;5000000;6.8;5591
"Hollow Man";2000;112;95000000;5.3;16168
"Unbreakable";2000;106;75000000;7.1;35842
"Under Siege";1992;98;12000000;6.1;9413
"Dress, The";1984;30;80000;8.4;9
"Buono, il brutto, il cattivo, Il";1966;180;1200000;8.8;30224
"Sleeper";1973;89;2000000;7.4;5571
"Graduate, The";1967;105;3000000;8.2;27555
"Rebecca";1940;130;1288000;8.3;11403
"Rosewood";1997;140;31000000;6.8;1840
"American Yearbook";2004;90;500000;9.3;23
"Not Another Teen Movie";2001;89;16000000;5.2;10295
"Yesil isik";2002;111;1500000;3.7;38
"Affairs with Bears";2002;27;7000;8.3;6
"Junebug and Hurricane";2004;9;26000;6.5;18
"Cherry, Harry & Raquel!";1970;71;90000;4.6;189
"Leftenan Adnan";2000;127;8000000;7.6;16
"Hello, Dolly!";1969;146;25000000;6.3;1499
"S.C.I.E.N.C.E";2004;96;3000;7.8;8
"Time Bandits";1981;110;5000000;6.9;9434
"Club Dread";2004;119;9000000;5.2;3432
"Rob Roy";1995;133;28000000;6.8;6652
"Se7en";1995;127;30000000;8.4;88371
"Hideous Kinky";1998;98;12000000;6.1;1615
"Warlock: The Armageddon";1993;98;3000000;4.6;692
"Reflections in a Golden Eye";1967;108;4500000;6.3;579
"Snow Falling on Cedars";1999;127;36000000;6.7;4536
"Ten Commandments, The";1923;146;1800000;7.5;97
"Looking Out";2002;15;42000;9.4;10
"Dead End";1937;93;900000;7.5;750
"Red Badge of Courage, The";1951;69;1640000;7.4;531
"Hello, Everybody!";1933;69;2000000;4.2;10
"Mask of Zorro, The";1998;136;65000000;6.8;18220
"Rage: Carrie 2, The";1999;104;21000000;4.4;3280
"Roar";1981;102;17000000;5.3;72
"Once Upon a Time in Mexico";2003;102;29000000;6;14732
"Texas Chainsaw Massacre 2, The";1986;111;4700000;4.6;2107
"Fightin' Fools";1941;9;23627;5.2;7
"In the Land of Milk and Money";2004;89;150000;5.6;7
"Everything Put Together";2000;87;500000;7.1;151
"Polar Express, The";2004;99;150000000;6.8;4045
"Invincible Kung Fu Guy, The";1994;23;3000;8.3;6
"Hope Floats";1998;114;30000000;5.3;4382
"Last Broadcast, The";1998;86;0;5.7;967
"Badlands";1973;94;500000;7.7;4763
"Crocodile Hunter: Collision Course, The";2002;90;13000000;5.3;1648
"Cheaper by the Dozen";2003;98;40000000;5.8;5977
"Ed Wood";1994;127;18000000;8;22612
"End of Suburbia: Oil Depletion and the Collapse of the American Dream, The";2004;78;60000;7.6;42
"Elvira, Mistress of the Dark";1988;96;20000000;5.3;1238
"Nasty Burgers";1993;70;50000;6.2;17
"Mars Attacks!";1996;106;70000000;6.1;27363
"Artists and Models";1955;109;1500000;6.2;433
"Urban Relics";1998;96;500000;8.3;6
"Disturbing Behavior";1998;84;15000000;5.1;4620
"Home Movies";1979;90;400000;4.6;103
"Grace of My Heart";1996;116;5000000;6.5;982
"Breaking All the Rules";1985;91;2032000;4.8;76
"I Am Sam";2001;132;22000000;7.2;9945
"Eyes of Laura Mars";1978;104;7000000;5.8;1174
"UHF";1989;97;5000000;6.6;6384
"Night of the Scarecrow";1995;94;2000000;4.3;134
"Aida degli alberi";2001;75;7000000;4.3;16
"Decay";1998;80;15000;6.5;8
"Flesh & Blood";1985;117;6500000;6.3;2047
"Nikos";2003;100;65000;3.6;93
"Faust: Love of the Damned";2001;101;6000000;4.1;628
"Begotten";1991;78;33000;5.8;405
"Brain That Wouldn't Die, The";1962;82;62000;3;953
"Blade";1998;110;45000000;6.8;24372
"When Time Ran Out...";1980;143;20000000;3.5;366
"Francine St. Claire's Mail";2002;24;10000;6;5
"Hang 'Em High";1968;114;1800000;6.7;3003
"Dead Man Walking";1995;122;11000000;7.6;16177
"Boy-Next-Door";2004;17;50000;9.4;19
"Snitch";1998;90;11000000;6.2;412
"Spies Like Us";1985;102;22000000;5.7;6434
"Tarzan and His Mate";1934;104;1279000;7.4;538
"Julie Walking Home";2002;118;5000000;7.3;190
"Pizza Man vs. the Dude";2004;82;16000;7.4;10
"Color of Night";1994;133;40000000;4.7;4646
"Jelly Pilgrim";2004;4;60000;2;6
"Bussed";2003;31;10000;5.2;9
"Duck, Duck, Goose!";2005;21;20000;8.8;16
"Harold and Maude";1971;91;1200000;7.9;9173
"Bloom";2004;7;0;6.8;9
"Boys in the Sand";1971;90;8000;7.8;14
"Beach, The";2000;119;50000000;5.8;15020
"Mystery Men";1999;121;68000000;5.8;13331
"Moonlight by the Sea";2003;92;10000;8;9
"Eight Men Out";1988;119;6000000;7.3;3689
"Boat Trip";2002;97;20000000;4.5;2991
"Last Seduction, The";1994;110;2500000;7.2;4157
"Hitchhiker";2003;16;0;5.3;17
"Kill Me Again";1989;94;4000000;6.2;643
"Lone Star";1996;135;5000000;7.7;8518
"Gal Young 'Un";1979;105;94000;5.7;36
"Trouble with Lou, The";2001;85;90000;6;13
"Alien Nation";1988;91;16000000;6;2171
"Losing Lois Lane";2004;20;6000;7.1;24
"Guinevere";1999;104;2600000;6.3;804
"Kicked in the Head";1997;87;4000000;4.2;271
"Soldier";1998;98;75000000;5.2;5590
"White Like Me";2004;15;40000;8.9;14
"Crazies, The";1973;103;275000;5.7;669
"Soldier, The";2003;10;3000;9.2;6
"Evelyn";2002;94;10000000;7.1;1163
"French Quarter Undercover";1985;84;2500000;4;5
"Cujo";1983;93;5000000;5.4;2922
"PCU";1994;79;9000000;5.9;2963
"Thunder Afloat";1939;95;1000000;6;15
"Uptown Saturday Night";1974;104;3000000;5.9;278
"Like Mike";2002;99;30000000;4.9;1484
"Thaw";2000;14;15000;8.2;6
"Friday Night Lights";2004;117;30000000;7;4290
"Old Man Who Read Love Stories, The";2001;111;9500000;6.1;145
"2001: A Space Travesty";2000;99;26000000;2.5;2023
"Pandaemonium";2000;124;15000000;6.2;244
"Granny, The";1995;85;1000000;4.2;142
"Shadow of the Vampire";2000;87;8000000;6.8;8366
"Stardust Memories";1980;91;10000000;6.8;2148
"Pep Squad";1998;94;500000;4.4;120
"Inside";2002;8;5000;7.4;36
"Cold Call";2001;14;20000;7.7;17
"Entrapment";1999;113;66000000;6.1;18543
"Flash Gordon";1980;111;35000000;5.7;5626
"College Coach";1933;76;245000;5.2;55
"Annie";1982;126;50000000;5.7;3475
"Bringing Down the House";2003;105;35000000;5.6;6501
"Spirit of America, The";2001;3;60000;6;14
"Who Framed Roger Rabbit";1988;99;70000000;7.4;21433
"Cavalcade";1933;110;1180280;6.8;315
"Private Detective 62";1933;67;260000;6.6;21
"Als je begrijpt wat ik bedoel";1983;84;2000000;7.5;224
"Legion of the Dead";2001;92;2700000;3.4;374
"Eve's Bayou";1997;109;5000000;7.2;2302
"Circus, The";1928;71;900000;7.8;1239
"Primary Colors";1998;143;65000000;6.8;7756
"Two Thousand Maniacs!";1964;87;65000;5;497
"Inferno";1980;102;3000000;6.2;1245
"Tooth";2004;91;12000000;4.3;84
"Deep, The";1977;123;9000000;5.8;1565
"Space Cowboys";2000;130;65000000;6.4;11887
"Steel Helmet, The";1951;85;103000;7.6;259
"As Good as It Gets";1997;139;50000000;7.7;47441
"Atomic Submarine, The";1959;72;135000;3.9;94
"Born on the Fourth of July";1989;145;14000000;7;11480
"Forrest Gump";1994;142;55000000;8.2;89722
"Rookie, The";2002;127;24000000;7.2;5135
"Global Heresy";2002;106;12000000;5.7;373
"Novocaine";2001;95;6000000;5.9;2829
"Charly";2002;103;950000;5.5;149
"Tovarich";1937;98;1400000;7.2;134
"Major and the Minor, The";1942;100;928000;7.5;598
"Nutbag";2000;80;40000;4;20
"Jane Austen's Mafia!";1998;83;10000000;4.8;2999
"Face/Off";1997;133;80000000;7.1;37506
"Billy Elliot";2000;110;5000000;7.7;16725
"Stir of Echoes";1999;99;13000000;7;11433
"Pushing Tin";1999;119;33000000;5.9;7528
"White Squall";1996;129;38000000;6.4;3445
"Innsmouth Legacy";2004;10;1000;6.4;8
"Thanksgiving";2004;12;150000;7.9;9
"Awfully Big Adventure, An";1995;112;4000000;5.8;608
"Travellers and Magicians";2003;108;1800000;7.2;187
"Grayson";2004;6;17791;8.5;96
"How Harry Became a Tree";2001;99;6000000;6.7;115
"Dances with Wolves";1990;236;19000000;7.8;28561
"Dragonfly";2002;104;60000000;5.8;5431
"Magnificent Ambersons, The";1942;131;850000;8;3407
"Enough";2002;115;38000000;4.9;4339
